additional_cards_rules_key;Extra Kártyák
b_nr300_8_regular_battle_name;Lopott álmok
b_nr300_9_regular_battle_desc;Meve egy földöntúli, vérfagyasztó vonítást hallott. Alig egy minutummal késôbb egy szörny bukkant elô egy közeli hóbucka mögül. Roppant hatalmas fekete kutyára hajazott, a pofája azonban zöldes tûzzel lángolt. A királynô már hallott ezekrôl a teremtményekrôl. Állítólag borzalmas bûntettek helyszíneinek közelében bukkantak föl, ahová az elkövetôk bûntudata és megbánása vonzotta oda ôket...
b_nr300_9_regular_battle_name;Mahakam bestiája
b_nr301_2_meet_brouver_desc;Mahakam sok-sok éven keresztül el volt zárva a külvilágiak elôl. Amikor a tündék királyai utolsó, elkeseredett próbálkozást tettek az emberek kiszorítására az alacsonyabban fekvô vidékekrôl, a törpök lezárták a birodalmukba vezetô átjárót, és vártak... Évszázadokon át. Csak amikor alábbhagyott az öldöklés és a mészárlás a völgyekben, akkor nyitották ki újra a kapuikat. A törpök azt a napot "A Nagy Szellôztetés" napjaként emlegetik...
b_nr301_2_meet_brouver_name;Tavaszi nagytakarítás
b_nr301_3_balog_depths_desc;A törpök mélyre hatoltak a Davor-vájatba, és páratlan minôségû gyémántokkal bukkantak elô onnan. Ezek a gyémántok szikráztak Észak minden királyi udvarában, ékítve koronákat, diszítve jogarakat, körülfutva kelyheket és csinosítva ceremoniális kardokat. Néhány azért Mahakamban is maradt, bár egészen hétköznapi célokból: fúrófejekként és kristályvágókként. Ám Davor gyémántok utáni aláereszkedésének napjai rég elmúltak. Most már csak szörnyek bukkanak elô a róla elnevezett sötét vájatból.
b_nr301_3_balog_depths_name;A Davor-vájat
b_nr301_3_boros_reach_desc;Egyszer, réges-régen, a Fuchs klán bányászott vasércet a Borófenéken. Miután a teknô utolsó ércbetétjét is kifejtették, a törpök a rájuk jellemzô gyakorlatiassággal jártak el: az aknákat és a kürtôket élettérként hasznosították újra. Ekkor még nem tudhatták, hogy innovatív lakhatási programjuk késôbb rendkívül kellemetlen bérlôknek biztosít majd szállást...
b_nr301_3_boros_reach_name;Borófenék
b_nr301_4b_scoiatael_ambush_desc;A lyriaiak hitetlenkedve nézték, ahogy a Scoia'tael elvágja a mahakami ôrök torkát. Miképp lehetséges ez? Másfajú a másfajú ellen? Mi végre? Lehetséges volna, hogy az ôsi fajok nem támogatják egyöntetûen a Mókusok ügyét? Kétségtelen, hogy ilyen és ehhez hasonló kérdések motoszkáltak az emberek fejében. De ez nem a tétlen szemlélôdés ideje volt. Ez a harc ideje volt.
b_nr301_4b_scoiatael_ambush_name;A hosszúhídi csata
b_nr302_1_dragon_brides_desc;Mielôtt Mahakamba érkezett, Meve csak elképzelni tudta, milyen is egy sárkány – beszürkült fali szôttesek, megfakult metszetek képei és trubadúrok meséi alapján alkotta meg ôket a képzeletében. Most pedig épp arra készült, hogy szembenézzen egyel – és le is vágja! Már maga a gondolat bénítóan hatott rá. Miképp sebezhetne meg egy olyan bestiát, amelynek pikkelyei még az acélnál is keményebbek? Vagy védekezhetne olyan tûzzel szemben, amely forróbb még a legforróbb kemencéénél is?
b_nr302_1_dragon_brides_name;Keltullis dühe
b_nr303_1_accident_desc;Szülei megtiltották nemesi származású lányuknak a kardvívás mûvészetének elsajátítását. Így hát Meve titokban gyakorolt, páncél helyett blúzt viselve, kard helyett konyhakést forgatva, és a lovagi tornák során ellesett mozdulatokat utánozva. Most, hogy megfelelô fegyverek híján volt kénytelen harcba bocsátkozni, a gyerekkori gyakorlások közben hullajtott sok verejték végre kifizetôdött...
b_nr303_1_accident_name;Mentésbe fogva
b_nr304_1_gold_rush_desc;Lehetetlen volt megállapítani az elhagyatott bányajárat vaksötétjében, hogy kik álltak Meve-vel és katonáival szemben. Csak annyi volt bizonyos, hogy férfiak – vagy legalábbis férfiak hangján megszólaló és férfialakot öltött valamik. Tudván, hogy kardja túlságosan hosszú ahhoz, hogy azzal rontson a járatba, Meve a földre hajította azt, majd a tôréért nyúlt...
b_nr304_1_gold_rush_name;A hegy gyomrában
b_nr305_1_highest_peak_desc;Meredek hegyoldalban nem könnyû feladat a harc... A lyriaiak jégkásás szemöldökeik alatt hunyorogva, leszúrt lándzsáikra támaszkodva küzdöttek, hogy meg tudják vetni lábukat a hóban. Nem úgy a bestiák! Könnyedén mozogtak, szikláról sziklára szökkenve, hosszú karmaikkal a köveket karistolva...
b_nr305_1_highest_peak_name;Iker-csúcsok
b_nr306_1_banker_desc;A földalatti kamra számos, a Vidmar klán ôsének, Zvonknak a hôsi tetteit bemutató dombormûvel volt díszítve. A törpöt az egyiken egy shaelmaarral puszta kézzel megküzdve örökítették meg a rég letûnt mesterek. Egy másikon meg amint épp bányászokat menekít ki egy beomló tárnából. Egy harmadikon pedig ahogy egy szaftos sült disznócombot pusztít el. Murkó nagyon szerette volna visszaszerezni híres ôse ereklyéit...
b_nr306_1_banker_name;A Vidmarok öröksége
b_nr307_2_punishment_desc;A nilfgaardiak kapkodva csatolták fel mellvértjeiket, öltötték magukra sisakjaikat, és csusszantak bele páncélkesztyûikbe. Hoog elöljáró ígéretében bízván a hirtelen támadás felkészületlenül érte ôket. Meve tudta, drágán megfizet majd, amiért megtörte a törpök szent, semlegességet hirdetô alapelvét... De az Owain aep Clenwoggal és kíséretével szembeni megtorlás bármilyen árat megért.
b_nr307_2_punishment_name;Szemet szemért
b_nr308_1_drekthag_desc;Meve fel volt rá készülve, hogy haramiákkal, szörnyekkel, vagy nilfgaardiakkal hadakozzék... De a Scoia'taellel? Magasan fenn a hegyekben, Mahakam kapuinak közvetlen közelében? Vajon mit kerestek itt a Mókusok? Ezt a királynô nem tudhatta, de egy valamiben biztos lehetett: hogy a fejét lándzsára tûzve akarták látni...
b_nr308_1_drekthag_name;Az eltûnt drekthagjárók
b_nr309_1_eudora_desc;A tábortûznél Gascon épp azzal kérkedett, hogy ô a lopakodás mestere. Azt állította, úgy át tudna kelni fényes nappal a novigrádi piacon, hogy nem visel mást, csak egy csörgôsipkát – és még akkor se venné észre egy teremtett lélek sem. Nos, elérkezett az ideje, hogy az Ebek Hercege bebizonyítsa, apportírozni is tud, nem csak ugatni...
b_nr309_1_eudora_name;Mahakam levéltára
b_nr311_1_burial_desc;A gyászolók – feltehetôen – elôre eltervezték a törp fônök meglincselését: mert hogy mindôjüknél épp akadt kéznél fejsze, kalapács vagy csákány. Nemsokára már suhogtak is a pengék, és a temetô zengett az összecsapó fegyverek zajától. Meve fojtott hangon szitkozódott. Elkésett azzal, hogy lecsillapítsa a tömeget. Csak abban reménykedhetett, hogy felül tud kerekedni rajta...
b_nr311_1_burial_name;Az igazságtevô igazsága
b_nr312_2_haunted_valley_desc;Ha nincs a lyriai hadsereg, a törp telepeseknek – valószínûleg – elôbb-utóbb hírmondója se marad: széttépték volna ôket a romok közt megbúvó fránya bestiák. Meve-nek és embereinek hála – ha csak kis mértékben is, de – javultak a túlélési esélyeik. Az elátkozottnak tûnô Feketecsermely-völgy méltán volt hírhedt...
b_nr312_2_haunted_valley_name;Az elátkozott völgy
b_nr313_2_precious_tokens_desc;Még vajon mit rejthetnek ezek az elfeledett, megközelíthetetlennek tûnô barlangok? Évszázadokkal ezelôtt kovácsolt rúnadíszes, mágikus kardot? Rég halott törp ékszerészek által vésett és csiszolt zafírt, rubint és topázt? Vagy talán hegyekben álló, felbecsülhetetlenül sok aranyat? Hogy kiderítsék, a lyriaiaknak csak le kellett vágniuk a mélyben lakó szörnyeket...
b_nr313_2_precious_tokens_name;Elfeledett kincs
b_nr314_1_singing_contest_desc;Szokatlanul erôs ôrség védte a Feketék karavánját – mintha egy katonai menetoszlopot védelmeztek volna ellenséges földön. Meglehet, hogy a nilfgaardi kereskedôk folyamodtak jobban felszerelt kíséretért védelemül a hegyvidék komisz bestiáival szemben. Vagy talán csak gyanították, hogy Meve nem fogja tiszteletben tartani Mahakam semlegességgel kapcsolatos elveit...
b_nr314_1_singing_contest_name;Nilfgaardi karaván
b_nr400_1_puzzle_battle_desc;Meve a fülét hegyezte. A szúnyogok zümmögésén és a békák vartyogásán át valami váratlant hallott meg: egy nô éneklését. A királynô meglepôdötten követte a hang forrását. Hamarosan egy barlang bejáratánál találta magát, amely elôtt a sárban lábnyomok sorjáztak az üreg irányába. Emberi lábnyomoknak tûntek... A kisarasz hosszúságú karmoktól eltekintve, persze.
b_nr400_1_puzzle_battle_name;Az ingovány dala
b_nr400_1_regular_battle_desc;Angren lakóinak mindig is sok nehézséget kellett kiállniuk: háborúkat, éhínséget, járványokat, mérgezô mocsári gázokat, és mindenekelôtt szörnyeket. Az emberek sehol sem voltak biztonságban. Még a saját otthonaikban sem...
b_nr400_1_regular_battle_name;Szellemváros
b_nr400_10_regular_battle_desc;Minden múló pillanattal csak egyre vastagodott a köd – olyannyira végül, hogy Meve már a kardja hegyét sem látta. "Nem hétköznapi köd ez" – gondolta, miközben a szemét meresztgette. A hadoszlop eleje felôl felhangzó sikolyok, amelyek a lemészárolt emberek sajátjai, igazolni látszottak félelmét...
b_nr400_10_regular_battle_name;Átláthatatlan köd
b_nr400_11_regular_battle_desc;A lyriaiak megengedtek maguknak egy óvatos, megkönnyebbült sóhajt, remélvén, hogy a szárazulat végre elérhetô közelségbe került. Ugyanis egy mohaborította szikla látszott ki a zöld, bûzös vízbôl. Ám amint közelebb értek hozzá, rá kellett jönniük, hogy az egyáltalán nem szikla volt... Hanem egy óriási behemót páncélja.
b_nr400_11_regular_battle_name;Jöjj elô, akárhol is vagy...
b_nr400_12_regular_battle_desc;Meve szitkozódott, amikor a felderítôktôl megtudta, hogy egy nilfgaardi táborba botlottak. "Már csak pont ez hiányzott" – gondolta. Bár a tábortüzek még mindig égtek, és a kikötött lovak is a füvet harapdálták, a sátrak egytôl-egyig üresen álltak... A királynô ismerte már az Ysgithet annyira, hogy tudja, ez egy nagyon rossz elôjel.
b_nr400_12_regular_battle_name;Elhagyatott tábor
b_nr400_13_regular_battle_desc;Minden teremtmény fogékony volt Gernichora csábítására. De legfôképp a vámpírok... Készen álltak megtenni bármit, hogy újra megízlelhessék mézédes vérét. Amikor a mocsár úrnôje arra utasította ôket, hogy támadjanak a királynôre, a vámpírok nem haboztak.
b_nr400_13_regular_battle_name;A vér hívása
b_nr400_2_puzzle_battle_desc;Egy hét. Csupán ennyi idôbe telt, hogy Nilfgaard elhódítsa Angrent Temeriától. Ám a Feketék hamar megtanulták, hogy nem ülhetnek sokáig a babérjaikon. Mert hát az igazi ellenfeleik nem az Északiak voltak, akik állítólag e földeket uralták... Hanem az ezen földeket lakó szörnyek. A lények, amelyek már idejekorán megtanították a nilfgaardiaiaknak, hogy soha ne merészkedjenek be túlságosan a mocsarak mélyére.
b_nr400_2_puzzle_battle_name;Elhagyatott helyôrség
b_nr400_2_regular_battle_desc;Mély dörej visszhangzott a távolból. Aztán megnyílt az ég, és szakadni kezdett az esô. Nehéz esôcseppek kopogtak a sisakokon, pajzsokon és vérteken. A katonák egy keskeny csapáson haladtak, vigyázva arra, nehogy megcsússzanak. És közben gyakran átkozták nyomorult sorsukat... De mind hamar elcsendesedtek, amikor a menet legelején haladó felderítô egyszer csak megtorpant. Az esô zúgó kopogásán túl is meghallott valamit – valamit, amitôl megfagyott az ereiben a vér...
b_nr400_2_regular_battle_name;Csipp-csepp...
b_nr400_3_puzzle_battle_desc;Hallottál már a lényrôl, amit a skelligeiek csak hymként ismernek? Nem? A hym egy hatalmas démon, ami azoknak a lelkén élôsködik, akik valamilyen rettenetes gonoszságot követtek el. De vajon ki lehetett az Meve seregébôl, aki egy efféle hitvány kreatúrát magához vonzhatott? A királynô kompániájából ki volt az, aki olyan szörnyû bûn elkövetésére volt képes, hogy még egy démon figyelmét is felkeltette?
b_nr400_3_puzzle_battle_name;Bûnös lelkiismeret
b_nr400_3_regular_battle_desc;A holtág két partját összekötô híd teljesen elkorhadt, arra kárhoztatva a lyriaiakat, hogy kerülôt tegyenek. A katakan, amely a környéken tallózott zsákmány után, tisztában volt a híd állapotával, ezért a holtágat megkerülô kitaposott ösvény mellett vert tanyát. Türelmesen várt a bozótban gubbasztva, prédáira fenve a fogát...
b_nr400_3_regular_battle_name;Az összedôlt híd
b_nr400_4_puzzle_battle_desc;A Feketék hamar rájöttek, hogy Angren egészét nem fogják tudni az irányításuk alá vonni. Ezért erôforrásaikat stratégiailag jelentôs pontokra, fogadókhoz, ôrtornyokhoz és hidakhoz összepontosították. Ez utóbbiak egyikén, a Veszperlei-hídon csaptak össze a lyriaiakkal. És ki gyôzedelmeskedett, kérdeznéd? De ne szaladjunk ennyire elôre...
b_nr400_4_puzzle_battle_name;A Veszperlei-híd
b_nr400_4_regular_battle_desc;A nilfgaardi nehézlovasság számára nehézséget okozott Angren mocsárvidékein az elôrejutás. A lovak térdig süllyedtek a posványban. Kirúgtak, faroltak, meghátráltak, nem leltek nyugalmat a szúnyogok zümmögô rajaitól sem. Meve rést fedezett fel a védelmükön, és úgy döntött, lecsap sebezhetô ellenfélére...
b_nr400_4_regular_battle_name;Nehézlovasság
b_nr400_5_puzzle_battle_desc;A nilfgaardi katonák hamar rájöttek, hogy Angren nem épp egy élhetô vidék. Ezért mindent meg is tettek annak érdekében, hogy ne kelljen ezen a pokoli helyen állomásozniuk. Ennek eredményeképp a Birodalom mocsári helyôrségeinek személyzete legfôképp kiközösítettekbôl, friss regrutákból és a haditörvényszék kegyelme által életben maradottakból állt...
b_nr400_5_puzzle_battle_name;Erôd a mocsárban
b_nr400_5_regular_battle_desc;A nilfgaardiak mindent megtettek, hogy elkerüljék a szolgálatot Angern istenektôl elrugaszkodott mocsaraiban, amiknek vize rémálmokból megelevenedô szörnyûségektôl hemzsegett. Azok, akiknek ez nem sikerült, megnyugvást lelhettek abban, hogy legalább a frontvonalaktól távol kerültek. Sokan abban reménykedtek, túlélhetik a háborút anélkül, hogy akár csak egyetlen ellenséggel is szembekerülnének. Úgy tûnik, a nilfgaardiakat nem tanították meg arra, hogy reméljék a legjobbat, de készüljenek fel a legrosszabbra...
b_nr400_5_regular_battle_name;Hamis ábrándok
b_nr400_6_puzzle_battle_desc;A nilfgaardiaknak becsvágyó, nagyratörô terveik voltak Angrennel: lecsapolni a mocsarait, kivágni a fáit, és tôzegben gazdag földjét mezôgazdálkodásra fordítani. Ez volt az oka annak, hogy déli telepesek jelentek meg a vidéken. De nem maradtak itt sokáig... Kalyibáik üresen ásítanak, belül karmazsinvörösre festve mind.
b_nr400_6_puzzle_battle_name;Elhagyatott falu
b_nr400_6_regular_battle_desc;Azt beszélik, hogy Nilfgaard Császársága szinte az összes szörnyet kiirtotta a saját határain belül. Ha ez tényleg így van, akkor a Birodalmiaknak Angren egészen kellemetlen klímaváltozással ért fel. Minden kanyar után, minden, a bozótban tett egészségügyi kitérô során vérszomjas bestiák állnak láthatatlanul lesben...
b_nr400_6_regular_battle_name;Angren népe
b_nr400_7_puzzle_battle_desc;Bugyogós, összességében véve, egy engedelmes kutya: a nyomodban járva követ, nyújtja a mancsát, és néhanapján le is ül, ha arra utasítják – legfôképp akkor, ha még a füle tövét is jól megvakargatják. Egy nap azonban Bugyogós egy étvágygerjesztô szagnak engedve elkószált a lyriai kísérettôl. A terjengô illat egy koromsötéten ásító barlanghoz csalta. Belépjen, vagy sem? Orrát megnyalva és fejét félredöntve töprengett egy pillanatig. Végül úgy döntött, hogy bátraké a szerencse, majd két vakkantás után a sötétségbe vetette magát...
b_nr400_7_puzzle_battle_name;Bugyogós kalandja
b_nr400_7_regular_battle_desc;Mielôtt Meve-et Angrenbe vetette a sors, csak annyit tudott errôl a vidékrôl, amennyit a palotájában megforduló vándorénekesek dalaiból hallott róla. Állítólag az istenek is elfordultak ettôl a helytôl, ahol minden bokor mögött veszedelem és gonoszság bújkált... Akkoriban úgy tûnt, mintha a költôk a drámai hatás fokozása kedvéért némiképp tódítottak volna, ám a következô mocsári lénnyel való összecsapása pillanatában, a bûzös dágványban derékig süllyedve rájött, hogy rengeteg igazság volt a költôi túlzásokban...
b_nr400_7_regular_battle_name;Átkozott föld
b_nr400_8_puzzle_battle_desc;A búskomor temetôk az örök nyugalom szigetei. Nos, tapasztalatom szerint, épp ellenkezôleg: a temetkezési helyek telis-tele vannak halálos veszedelemmel, és baj vár mindazokra, akik nem kerülik el ôket széles ívben...
b_nr400_8_puzzle_battle_name;Örök nyugalom
b_nr400_8_regular_battle_desc;A láp sötét vize fölött terjengô köd sûrûsödni kezdett, tejszerûen kavargó fátyollal takarva el az utat a hadoszlop elôtt. Meve, tartva a katasztrófától, megálljt parancsolt, ám senkinek nem engedett pillanatnyi pihenôt sem. A gyalogságot a tábor pajzstól pajzsig zárt körbevételére utasította. A számszeríjászok tekintete nem lankadt, izzadó kezekkel markolták fegyvereiket. Aztán a ködben egyszer csak kísérteties fények lobbantak fel körös-körül...
b_nr400_8_regular_battle_name;Fények a ködben
b_nr400_9_regular_battle_desc;Meve egy gurgulázó, rekedt krákogást hallott – "gluggy, gluggy, gluggy" -, de a forrását nem lelte. A királynô elôvonta kardját, és elhessegette a szúnyogokat, amik az arca elôtt rajzottak. Csak ekkor vette észre a lápból épp kiemelkedô teremtményt... Egy vízibanyát, aminek sárga fogairól nyál csöpögött, és sziszegett nyelvével, akár a kígyó.
b_nr400_9_regular_battle_name;Gluggy-gluggy
b_nr401_1_angren_intro_desc;Az ôrök próbálkoztak a kapu becsukásával, de Gascon emberei hamar cselekvésképtelenné tették ôket késeikkel a nehéz rácsozat rései közt be-beszúrva. A lyriaiak örömükben a magasba emelték karjaikat felcsapó üdvrivalgásuk közepette, ám Meve hamar csendre intette ôket. Még ne örüljenek elôre. Igaz, hogy a megszállók elveszítették taktikai elônyüket, de még nem gyôzettek le...
b_nr401_1_angren_intro_name;A rôtlobindeni csata
b_nr401_2_caldwell_desc;Caldwellt semmere sem lehetett látni, ami egyáltalán nem lepte meg Meve-et. A gróf soha nem legelöl hadakozott. Helyette inkább mindig hátramaradt, ahonnan bátorító kiáltásokkal buzdította az embereket, és a kardját lóbálta közben – amely kard ritkán ízlelte meg a vért.
b_nr401_2_caldwell_name;Tuzla ostroma
b_nr401_3b_leech_attack_desc;Meve leküzdötte a késztetést, hogy elfordítsa tekintetét az egységét körülvevô, szennyborította borzalmakról. Már a puszta látványuk is émelyítô volt – összeszorult a mellkasa is, el kellett fojtania egy sikolyt. Végül nagy nehézségek árán felemelte kardját. A királynô remélte, hogy emberei nem vették észre karja remegését.
b_nr401_3b_leech_attack_name;A Véres Úrnô
b_nr401_4_battle_for_the_bridge_2_desc;Meve mindig is abban reménykedett, hogy nem az ágyában fog meghalni, taknyos orrú és könnyes szemû unokáktól körülvéve. Helyette más, méltóbb véget áhított – olyat, ami közben páncélok csillannak meg fényesen, és Lyria lobogója fennen hullámzik a szélben. Ám a körülmények állása szerint inkább tûnt valószínûnek, hogy a káka között leli halálát, sártól és izzadságtól mocskosan, nilfgaardi lovak patái által agyontaposva. Tényleg ez lehet az a sors, amit az istenek neki szántak?
b_nr401_4_battle_for_the_bridge_2_name;A hídért vívott ütközet
b_nr401_4_battle_for_the_bridge_desc;Ahelyett, hogy kompra szállt volna, Meve felnyergelte lovát. Az ôt ért balszerencse miatt haragosan szorította össze állkapcsát, és megrohamozta az ellenséget. "Csak egyszer kerüljenek a kezeim közé azok a tolvajok" – gondolta. – "Enyém lesz a bosszú!".
b_nr401_4_battle_for_the_bridge_name;A Jarugánál vívott csata
b_nr403_1_lumberjack_camp_desc;Nilfgaard partvonala sok ezer mérföldön át kígyózik – nem csoda hát, ha a Feketéknek a Kontinens összes platánja és tiszafája sem volt elég. Azért, hogy egy ilyen mérvû terjeszkedés védhetô legyen a skelligei kalózoktól, a császárnak hatalmas flottát kellett fenntartania, amely több száz hajót számlált. Aminek következményeképp eme roppant armada éves költsége a Birodalmi Kincstár összes jövedelmeinek felét is kitette.
b_nr403_1_lumberjack_camp_name;Angreni arany
b_nr405_1_sunken_ruins_desc;Vajon kié lehetett ez a félig elsüllyedt, borostyánnal benôtt síremlék? Emberemlékezet óta nem élt olyan, aki meg tudta volna mondani. A tündék, akik emelték, évszázadokkal korábban elmenekültek Angrenbôl. A helyiek csak annyit tudtak, hogy egy valaha volt nagy harcosé, aki egy ôsi gonosztól védelmezte a lápvidéket.
b_nr405_1_sunken_ruins_name;Tünde romok
b_nr406_1_skellige_raid_2_desc;Arnjolf, az apagyilkos – mint ahogy a neve is mutatta, – szörnyû bûnben volt vétkes. A Skellige-szigetek rendkívül szigorú törvényei szerint egy családtag meggyilkolása után csak egy mód volt a megváltásra: a küzdelem általi halál. Épp ezért Arnjolf nem volt rest megtalálni azt a harcost, aki elhozhatja számára a feloldozást...
b_nr406_1_skellige_raid_2_name;Arnjolf, az apagyilkos
b_nr406_1_skellige_raid_desc;Apja mindig azt mondta Meve-nek, hogy az igaz harcos soha nem állít csapdákat – azok a gödrök csak haramiák, vadorzók és gyávák eszközei. Úgy tûnt, Nilfgaardban az apák nem ilyen szellemben tanították utódaikat... Meve megsarkantyúzta lovát, átugratta a kihegyezett karókkal teli vermet, majd a csapda állítóinak nyomába eredt.
b_nr406_1_skellige_raid_name;Nilfgaardi tôrök
b_nr408_1_witcher_village_desc;Bár súlyosan megsebesült, a vaják még így is sokkal gyorsabbnak bizonyult a lyriai katonáknál. Ezüstkardja egy pillanatra sem pihent, inakat és vénákat vágott át a réseket meglelve a kitinszerû páncélzaton. Meve ámulva nézte... Legalábbis egészen addig, amíg a ghúl üvöltése a háta mögött a királynô eszébe nem juttatta, hogy neki is megvan a maga harca.
b_nr408_1_witcher_village_name;Az Ysgith szívében
b_nr410_1_nilgaardian_chase_desc;Miután megkapták a parancsot a támadásra, nem kélt vad csatakiáltás a katonák ajkán, miközben ellenségükre rontottak. Vagyis inkább csak lassan vánszorogtak, gázoltak a nyálkás ingoványban. A lyriaiak és a nilfgaardiak is jócskán az erôtartalékaik végére értek a járványoktól és a mindenhová behatoló nedvességtôl egyaránt szenvedve. Ennek ellenére össze kellett szedniük magukat azért, hogy harcoljanak... És gyôzzenek.
b_nr410_1_nilgaardian_chase_name;A nilfgaardi-üldözés
b_nr411_1_heart_of_darkness_desc;Meve átkozta magát a saját jóhiszemûsége miatt. Már korábban észre kellett volna vennie... A mély vágást a kapukat kitáró szolga nyakán. Az állatokat gondozó öreg kivájt szemeit. A szégyenükben tekintetüket leszegô szolgálólányokat... A királynô kardja felszisszent, amint kivonta azt a hüvelyébôl.
b_nr411_1_heart_of_darkness_name;A mocsár ura
b_nr500_1_puzzle_battle_desc;A lyriai sereg egy elhagyatott tanyán vágott keresztül. Az ablakokról leszakadt spaletták, a porban vérnyomok, a búzában unottan grasszáló, felügyelet nélkül hagyott tehenek... Meve azt gyanította, a királyságban tomboló káoszból elônyt kovácsoló nilfgaardiak vagy haramiák lehettek felelôsek a falusiak eltûnéséért. De a valódi tettesek kiléte mindenkit meglepett...
b_nr500_1_puzzle_battle_name;A barom-összeesküvés
b_nr500_1_regular_battle_desc;Favágónak lenni nem egy életbiztosítás. Elôször is, a szerencsétlen balesetek általában nem kecsegtetnek túl sok jóval. Másodszor, a fejszecsapás hangja messzire elhallatszik – és mint gyakran kiderül: a szörnyek füle meglehetôsen érzékeny. Az étvágyuk pedig kielégíthetetlen.
b_nr500_1_regular_battle_name;Döntô csapások
b_nr500_10_regular_battle_desc;A lyriaiak a sötétben kúszva figyelték meg a csöndbe borult nilfgaardi helyôrséget. Nézték, amint kihúnynak a tábortüzek, hallgatták, ahogy elhalnak a beszélgetések. Végül, miután a barakkokban is mindenki álomba szenderült, csak a magányos ôrszemek maradtak a falakon. Ekkor aztán a királynô kiadta a parancsot a támadásra. Elérkezett az ideje, hogy a megszállókat méltóképp köszöntsék.
b_nr500_10_regular_battle_name;Ébresztô
b_nr500_11_regular_battle_desc;Meve motozást hallott az útszéli fák közül. Megállította a menetet, és összeszûkült szemekkel vizslatta a sötétet a hang irányában. Amikor végre megpillantotta azt, ami az erdô homályában rejtôzött, káromkodott egyet, és meglepetésében tett egy lépést hátrafelé – egy lépést, ami megmentette az életét. Ugyanis borotvaéles karmok halálosnak szánt csapását sikerült ezáltal csupán egy arasszal elkerülnie...
b_nr500_11_regular_battle_name;A holdfényben
b_nr500_12_regular_battle_desc;Sötétedés után elég a leghétköznapibb fény vagy zaj is ahhoz, hogy az ember ereiben megfagyjon a vér. Látod azokat a hosszú, hajlott és bütykös karmokat? Csak szélrázta faágak árnyéka...  Csitt! Várj! Nem hárpiák azok, amik lecsapni készülnek épp? Nem, csak denevérszárnyak surrogása. Ilyenkor minden csak az elvadult képzelet játéka csupán. Igaz?
b_nr500_12_regular_battle_name;Sötét erdôben
b_nr500_13_regular_battle_desc;Gwyndlyn Iffir, a Hatodik Gheso Gyalogsági Regiment ôrmestere alig várta, hogy leteljen a szolgálata az ôrségben. Az volt a terve, hogy elôbb kiüríti a hólyagját, aztán pedig kiüríti azt a temeriai bundapálinkával teli üveget, amit a priccse alatt rejtegetett. Szerencsétlenségére egyik álmát sem sikerült valóra váltania. Amint megpillantotta a közeledô lyriai erôk fáklyáinak fényét, megkondította a riadóra figyelmeztetô harangot...
b_nr500_13_regular_battle_name;Éjjeli ôrség
b_nr500_14_regular_battle_desc;A lyriai sereg megközelítette Hársashatárt, a falut, amit Niedamir strázsamester úgy hívott, hogy otthon. Alig várta, hogy újra szeretô ölelésébe zárhassa családját, hogy elmesélhesse a távolléte óta esett kalandokat, és hogy bemutathassa feleségét a királynônek... De ahogy közelebb értek, látta, hogy nem száll füst a kéményekbôl, nem pislákolnak fények az ablakok csukott spalettái mögött. És a falun túl, kicsit távolabb látott: egy sötétlô gödröt. Vajon mi volt a veremben, kérded? Látszik, hogy nem ismered még a háborúk természetét.
b_nr500_14_regular_battle_name;Tömegsír
b_nr500_15_regular_battle_desc;Amikor a felderítôk azzal a hírrel tértek vissza, hogy a közelben nilfgaardi rabszolgakereskedôk vertek tábort, Meve-bôl egy nehéz sóhajtás tört elô. Tudta, hogy kötelessége kiszabadítani az alattvalóit. De azt is tudta, hogy a Feketék, ha fenyegetve érzik magukat, szapora ostorcsapásokkal fogják a sajátjait ellene fordítani...
b_nr500_15_regular_battle_name;Fogságban
b_nr500_2_puzzle_battle_desc;Meve egysége egy mély barlang mellett táborozott le, amely barlangot a helyiek csak Nyúlüregnek hívták. Lehetséges, hogy egykor valóban az ártalmatlan jószágok lakták, de mostanában leginkább egy másik fajta bestia mondhatta azt az otthonának. Egy olyan bestia, amely a salátáját répa mellett leginkább egy jó nagy szelet hússal szerette.
b_nr500_2_puzzle_battle_name;Nyúlüreg
b_nr500_2_regular_battle_desc;Biztosra véve a gyôzelmét Emhyr császár telepeseket kezdett küldeni Rívia termékeny földjeire. Amikor Meve visszatért feldúlt és kifosztott királyságába, a nilfgaardi telepesek elmenekültek... De nem mindannyian. Néhányuk a kapát és a kaszát fegyverre cserélte, és most ott állt a Fekete katonákkal együtt alakzatban, készen arra, hogy megvédelmezze új otthonát, ha kell, az élete árán is.
b_nr500_2_regular_battle_name;Telepesek
b_nr500_3_puzzle_battle_desc;Egyesek bármit megtesznek azért, hogy a törekvéseiket és céljaikat elérjék. Nyélbe ütnek bármilyen üzletet, megfizetnek bármekkora árat is érte. Például, volt egyszer egy fiatal ríviai férfi, aki eladta a lelkét egy, a tiltott mágia mesterének számító varázslónak. De kinek is adta el, kérdezed? Nos,... biztonságosabb, ha nem mondjuk ki a nevét.
b_nr500_3_puzzle_battle_name;A becsvágy ára
